run,sample,sample_in_trigger_record,time_in_1ms_period_us,s11_mag_db,s11_phase_unwrapped_deg,master_power,slave_power,state,block_index,pulse_number_in_second,temp_C
PBS3_96 · 18:18:43,PBS3_96,32,32.0,-8.80801995698153,-43.92020959234991,21.58580089165503,2.84031280078418,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,33,33.0,-8.809243453667037,-43.9133175897224,21.57561913067021,2.8381733752920595,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,34,34.0,-8.809808312282023,-43.91144317903989,21.5779028128397,2.838104625333816,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,35,35.0,-8.811602738855607,-43.90272608039158,21.54136878638692,2.832128940915608,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,36,36.0,-8.812142305112443,-43.887067366974,21.56687004759901,2.8351294349988647,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,37,37.0,-8.813319055654125,-43.896561732659606,21.52668768415106,2.829080494550881,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,38,38.0,-8.813743120698781,-43.8986538651179,21.543007252571453,2.8309488046648017,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,39,39.0,-8.814486244401017,-43.89299549906802,21.514528916649223,2.8267227665551635,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,40,40.0,-8.814400335162633,-43.903345868731286,21.52877224592831,2.8286501043771617,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,41,41.0,-8.815696950415589,-43.90506545135449,21.54026901571259,2.8293158195081523,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,42,42.0,-8.815198324251819,-43.89208954422868,21.47781665307513,2.82143661614538,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,43,43.0,-8.81510551718015,-43.89222566217362,21.58851370900945,2.836038955974975,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,44,44.0,-8.816984301267437,-43.899913273888615,21.40068825591272,2.8101487595211645,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,45,45.0,-8.818110899364907,-43.90138054731447,21.653002170233226,2.8425429108142626,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,46,46.0,-8.818866712530424,-43.89708743442967,21.275698008583365,2.792525489739962,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,47,47.0,-8.820483289195076,-43.90765098324469,21.762339753197157,2.8553362390205903,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,48,48.0,-8.821409178482705,-43.90932807369137,13.864773270053362,1.8187451747827783,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,49,49.0,-8.821361782874034,-43.90641526862071,7.9371401299604125,1.041184920388447,Treatment,16728,728,37.0693527271749
PBS4_96 · 18:21:56,PBS4_96,2,2.0,-9.247798226842116,-41.07565276977541,8.430459177829858,1.0024700515727556,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,3,3.0,-9.246781367566005,-41.08652756201827,14.6896381491695,1.7471611380586822,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,4,4.0,-9.247475867004669,-41.09444324069177,23.028044807621708,2.7384794050238765,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,5,5.0,-9.249692099901448,-41.1111134877241,22.411846288717832,2.6638417741890987,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,6,6.0,-9.249131837720014,-41.11527254724423,22.769761236996967,2.706732221274493,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,7,7.0,-9.248971182290235,-41.12504440191309,22.47763724389127,2.6721051239741413,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,8,8.0,-9.251438496350731,-41.12039868633548,22.66228061145805,2.692525116443895,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,9,9.0,-9.25301679487502,-41.12346765973129,22.52184796793992,2.674867924637369,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,10,10.0,-9.254753346763124,-41.12571032963004,22.56546315081646,2.6789765806386687,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,11,11.0,-9.257164351440093,-41.13575769453334,22.55572072636764,2.6763337671295857,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,12,12.0,-9.260398375959758,-41.14674253977328,22.521840239802984,2.6703244721148813,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,13,13.0,-9.260571565705929,-41.15306870726705,22.54194807634381,2.672601996577725,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,14,14.0,-9.262378149988416,-41.15116229294495,22.511159162481032,2.6678416204854627,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,15,15.0,-9.26494736997822,-41.16073889368912,22.5372983048891,2.669359801731251,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,16,16.0,-9.265459261480476,-41.15200404859608,22.49090597246488,2.663551042760831,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,17,17.0,-9.2655063263761,-41.14327891917074,22.51103025335309,2.6659054285145616,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,18,18.0,-9.267440004079418,-41.15015641301423,22.48726458118553,2.6619054740941883,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,19,19.0,-9.268958486431382,-41.144027858266895,22.489996461500088,2.661298189194487,Treatment,18841,841,36.736189683899454
PBS4_96 · 18:21:56,PBS4_96,20,20.0,-9.269438550590465,-41.13365802309482,22.47956448411348,2.659769722756632,Treatment,18841,841,36.736189683899454
